display_name,method,micro_f1,macro_f1,precision_micro,recall_micro,hamming_loss,subset_accuracy,latency_ms_per_sample,micro_f1_ci_low,micro_f1_ci_high,macro_f1_ci_low,macro_f1_ci_high
RoBERTa,trained_roberta,0.4938235185663188,0.4326486065134516,0.4698947368421052,0.5203201491957417,0.0468914395026303,0.3225251076040172,9.606519815013604,0.4862619571422782,0.5009815856780698,0.4222013607181575,0.4423583535075209
RoBERTa + weighted focal loss,roberta_weighted_focal,0.4796494256689463,0.4381746203642809,0.4187097896018084,0.5613489781645815,0.0535423925667828,0.2432329029172644,9.575913087894676,0.4728471064663222,0.4858743154683289,0.4275699107940268,0.4479216016402219
RoBERTa + class-balanced focal loss,roberta_class_balanced_focal,0.4693625860054524,0.4559500236193629,0.4029983837708298,0.5618929209728806,0.0558516089362574,0.2281205164992826,9.616494265045135,0.4615314685327943,0.4757864912325029,0.4460921215592487,0.4663443583526819
DistilBERT,trained_distilbert,0.4685846899423228,0.4044758708050661,0.4177823758519961,0.5334524827103893,0.0531905445104871,0.2581539933046389,5.486130228801486,0.4613395568216366,0.4755405865173585,0.3954435751310455,0.4141146860467034
TF-IDF Logistic Regression,tfidf_logreg,0.3729554905282612,0.3431912266821725,0.308940600122474,0.4704328230631751,0.0695395231263237,0.1423242467718795,0.0138253467500437,0.3666774874679288,0.3789816732856966,0.3339108534751077,0.3535017000233602
TF-IDF SVM,tfidf_svm,0.3474385831270234,0.298656769096389,0.3407291199760944,0.3544175926645427,0.0585263373642139,0.16805356288857,0.0142718555289042,0.3402197108176947,0.3542643656051858,0.2887813680280208,0.3072254046675978
Lexicon baseline,lexicon,0.2968309007338118,0.2381536566202955,0.3084723036956339,0.2860362110498096,0.0595750495320079,0.2391200382592061,0.0279011118877367,0.2880478859462504,0.3042264989328373,0.2267523077249233,0.2477342940977375
TF-IDF Naive Bayes,tfidf_nb,0.1294049682264587,0.0834921197656466,0.3719557195571956,0.0783277643950579,0.0463312154129944,0.0618842659014825,0.0181783954975908,0.1223667682927399,0.1365220227062545,0.0781214048972117,0.0890817632865209
Dummy majority,dummy_majority,0.0,0.0,0.0,0.0,0.0439605110336817,0.0,0.0001341024336206,0.0,0.0,0.0,0.0
