display_method,micro_f1,macro_f1,precision_micro,recall_micro,hamming_loss,subset_accuracy,latency_ms_per_sample
RoBERTa,0.4938235185663188,0.4326486065134516,0.4698947368421052,0.5203201491957417,0.0468914395026303,0.3225251076040172,9.606519815013604
RoBERTa + Weighted Focal Loss,0.4796494256689463,0.4381746203642809,0.4187097896018084,0.5613489781645815,0.0535423925667828,0.2432329029172644,9.575913087894676
RoBERTa + Class-Balanced Focal Loss,0.4693625860054524,0.4559500236193629,0.4029983837708298,0.5618929209728806,0.0558516089362574,0.2281205164992826,9.616494265045135
