method,best_emotions_by_f1,weakest_emotions_by_f1,lowest_support_emotions
lexicon,love (0.651); gratitude (0.592); amusement (0.554); remorse (0.547); joy (0.420),"annoyance (0.015, n=670); admiration (0.035, n=1026); relief (0.055, n=77); realization (0.056, n=462); disappointment (0.074, n=414)",grief (n=40); pride (n=76); relief (n=77); nervousness (n=105); embarrassment (n=123)
tfidf_logreg,gratitude (0.757); love (0.642); amusement (0.609); admiration (0.545); remorse (0.535),"relief (0.103, n=77); disappointment (0.177, n=414); nervousness (0.181, n=105); realization (0.184, n=462); grief (0.208, n=40)",grief (n=40); pride (n=76); relief (n=77); nervousness (n=105); embarrassment (n=123)
tfidf_svm,gratitude (0.769); love (0.615); amusement (0.574); admiration (0.509); fear (0.412),"relief (0.071, n=77); grief (0.102, n=40); nervousness (0.115, n=105); realization (0.136, n=462); disappointment (0.143, n=414)",grief (n=40); pride (n=76); relief (n=77); nervousness (n=105); embarrassment (n=123)
trained_distilbert,gratitude (0.827); love (0.691); amusement (0.666); admiration (0.636); remorse (0.532),"grief (0.048, n=40); relief (0.066, n=77); pride (0.096, n=76); realization (0.193, n=462); nervousness (0.216, n=105)",grief (n=40); pride (n=76); relief (n=77); nervousness (n=105); embarrassment (n=123)
trained_roberta,gratitude (0.820); love (0.701); amusement (0.669); admiration (0.642); remorse (0.554),"grief (0.071, n=40); relief (0.119, n=77); realization (0.227, n=462); nervousness (0.234, n=105); embarrassment (0.293, n=123)",grief (n=40); pride (n=76); relief (n=77); nervousness (n=105); embarrassment (n=123)
