method,micro_f1,macro_f1,precision_micro,recall_micro,hamming_loss,subset_accuracy,fit_seconds,predict_seconds,latency_ms_per_sample,threshold_strategy,threshold,micro_f1_ci_low,micro_f1_ci_high,macro_f1_ci_low,macro_f1_ci_high,bootstrap_iterations,seed
trained_roberta,0.49382351856631884,0.43264860651345166,0.46989473684210525,0.5203201491957417,0.04689143950263032,0.3225251076040172,0.0,100.66165112517774,9.628087147314943,per_label,per_label,0.4862619571422782,0.5009815856780698,0.42220136071815756,0.44235835350752095,200,42
trained_distilbert,0.4685846899423228,0.4044758708050661,0.4177823758519961,0.5334524827103893,0.053190544510487124,0.25815399330463895,0.0,57.85124783264473,5.533357038033929,per_label,per_label,0.46133955682163663,0.4755405865173585,0.3954435751310455,0.4141146860467034,200,42
tfidf_logreg,0.3729554905282612,0.34319122668217256,0.308940600122474,0.4704328230631751,0.0695395231263237,0.1423242467718795,4.654961834196001,0.1468822080641985,0.014048991684763127,not_applicable,not_applicable,0.3666774874679288,0.37898167328569665,0.3339108534751077,0.3535017000233602,200,42
tfidf_svm,0.3474385831270234,0.298656769096389,0.34072911997609445,0.3544175926645427,0.058526337364213976,0.16805356288857007,8.537851249799132,0.1470835842192173,0.014068252914320163,not_applicable,not_applicable,0.3402197108176947,0.3542643656051858,0.2887813680280208,0.30722540466759785,200,42
lexicon,0.2968309007338118,0.23815365662029558,0.30847230369563394,0.28603621104980964,0.05957504953200792,0.2391200382592061,1.0421499609947205e-06,0.29230233328416944,0.027958138047266327,not_applicable,not_applicable,0.28804788594625047,0.3042264989328373,0.22675230772492336,0.24773429409773753,200,42
